,country,continent,population,total_deaths,total_cases,total_tests,recovered
0,Djibouti,Africa,1016097.0,189.0,15690,305941.0,15427.0
1,Greenland,North-America,56973.0,21.0,11971,164926.0,2761.0
2,Eritrea,Africa,3662244.0,103.0,10189,23693.0,10086.0
3,Niger,Africa,26083660.0,312.0,9931,254538.0,8890.0
4,Saint-Helena,Africa,6115.0,,2166,,2.0
5,Falkland-Islands,South-America,3539.0,,1930,8632.0,1930.0
6,Montserrat,North-America,4965.0,8.0,1403,17762.0,1376.0
7,Diamond-Princess,,,13.0,712,,699.0
8,Vatican-City,Europe,799.0,,29,,29.0
9,Western-Sahara,Africa,626161.0,1.0,10,,9.0
10,MS-Zaandam,,,2.0,9,,7.0
11,China,Asia,1448471400.0,5272.0,503302,160000000.0,379053.0
12,Liberia,Africa,5305117.0,295.0,8090,139824.0,7783.0
13,Nauru,Oceania,10903.0,1.0,5393,20509.0,5347.0
14,Caribbean-Netherlands,North-America,26647.0,38.0,11682,30126.0,10476.0
15,Gambia,Africa,2558482.0,372.0,12626,155686.0,12189.0
16,Comoros,Africa,907419.0,161.0,9109,,8939.0
17,Guinea-Bissau,Africa,2063367.0,177.0,9614,145231.0,8929.0
18,Chad,Africa,17413580.0,194.0,7701,191341.0,4874.0
19,Vanuatu,Oceania,321832.0,14.0,12019,24976.0,11976.0
20,Sint-Maarten,North-America,43966.0,92.0,11051,62056.0,10905.0
21,Wallis-and-Futuna,Oceania,10982.0,8.0,3550,20508.0,438.0
22,St-Barth,North-America,9945.0,6.0,5507,78646.0,
23,Saint-Kitts-and-Nevis,North-America,53871.0,48.0,6607,126958.0,6559.0
24,Tokelau,Oceania,1378.0,,80,,
25,Kiribati,Oceania,123419.0,24.0,5085,,2703.0
26,Dominica,North-America,72344.0,74.0,16038,229344.0,15964.0
27,CAR,Africa,5016678.0,113.0,15440,81294.0,15200.0
28,Saint-Martin,North-America,39730.0,63.0,12324,112382.0,
29,Yemen,Asia,31154867.0,2159.0,11945,329592.0,9124.0
30,St-Vincent-Grenadines,North-America,111551.0,124.0,9674,114197.0,9493.0
31,Antigua-and-Barbuda,North-America,99509.0,146.0,9106,18901.0,8954.0
32,Sierra-Leone,Africa,8306436.0,126.0,7779,259958.0,
33,British-Virgin-Islands,North-America,30596.0,64.0,7392,107339.0,
34,Cook-Islands,Oceania,17571.0,2.0,7203,19690.0,7150.0
35,Sao-Tome-and-Principe,Africa,227679.0,80.0,6778,29600.0,6685.0
36,Turks-and-Caicos,North-America,39741.0,40.0,6752,616788.0,6709.0
37,Palau,Oceania,18233.0,10.0,6290,71434.0,6276.0
38,Anguilla,North-America,15230.0,12.0,3904,51382.0,
39,Saint-Pierre-Miquelon,North-America,5759.0,2.0,3452,25400.0,2449.0
40,Tuvalu,Oceania,12066.0,1.0,2943,,
41,Niue,Oceania,1622.0,,1059,,1056.0
42,Cura&ccedil;ao,North-America,165529.0,295.0,45986,496693.0,44720.0
43,Isle-of-Man,Europe,85732.0,116.0,38008,150753.0,
44,Cayman-Islands,North-America,67277.0,37.0,31472,222773.0,8553.0
45,Congo,Africa,5797805.0,386.0,25375,347815.0,24006.0
46,Nicaragua,North-America,6779100.0,225.0,18491,,4225.0
47,Tajikistan,Asia,9957464.0,125.0,17786,,17264.0
48,Equatorial-Guinea,Africa,1496662.0,183.0,17229,365697.0,16907.0
49,Somalia,Africa,16841795.0,1361.0,27334,400466.0,13182.0
50,Bermuda,North-America,61939.0,165.0,18860,1029558.0,18685.0
51,Mayotte,Africa,286259.0,188.0,42027,176919.0,
52,Grenada,North-America,113475.0,238.0,19693,182981.0,19358.0
53,Bahamas,North-America,400516.0,844.0,38084,257839.0,36366.0
54,Timor-Leste,Asia,1369429.0,138.0,23460,278529.0,23102.0
55,Aruba,North-America,107609.0,292.0,44224,177885.0,42438.0
56,Sudan,Africa,45992020.0,5046.0,63993,562941.0,58947.0
57,Mauritania,Africa,4901981.0,997.0,63848,1009957.0,62471.0
58,Bhutan,Asia,787941.0,21.0,62697,2303734.0,61564.0
59,Syria,Asia,19364809.0,3165.0,57743,146269.0,54578.0
60,Burundi,Africa,12624840.0,38.0,54721,345742.0,53569.0
61,Seychelles,Africa,99426.0,172.0,51220,,51048.0
62,Gabon,Africa,2331533.0,307.0,49051,1621909.0,48674.0
63,Andorra,Europe,77463.0,165.0,48015,249838.0,
64,Papua-New-Guinea,Oceania,9292169.0,670.0,46864,249149.0,46168.0
65,Tanzania,Africa,63298550.0,846.0,43223,,
66,Mauritius,Africa,1274727.0,1051.0,43025,358675.0,41278.0
67,Togo,Africa,8680837.0,290.0,39572,815204.0,39281.0
68,Guinea,Africa,13865691.0,468.0,38572,660107.0,37757.0
69,Lesotho,Africa,2175699.0,723.0,36138,431221.0,25980.0
70,Haiti,North-America,11680283.0,860.0,34667,132422.0,33734.0
71,Faeroe-Islands,Europe,49233.0,28.0,34658,778000.0,
72,Mali,Africa,21473764.0,743.0,33164,804909.0,32332.0
73,Saint-Lucia,North-America,185113.0,410.0,30215,210983.0,29805.0
74,Benin,Africa,12784726.0,163.0,28036,604310.0,27847.0
75,Macao,Asia,667490.0,123.0,27673,7850.0,3487.0
76,Micronesia,Oceania,117489.0,65.0,26547,82430.0,
77,San-Marino,Europe,34085.0,128.0,26185,196855.0,26011.0
78,Solomon-Islands,Oceania,721159.0,199.0,25954,,
79,Burkina-Faso,Africa,22102838.0,400.0,22114,248995.0,21596.0
80,Liechtenstein,Europe,38387.0,94.0,21574,112457.0,
81,Gibraltar,Europe,33704.0,113.0,20550,534283.0,
82,South-Sudan,Africa,11618511.0,147.0,18819,410280.0,18115.0
83,Monaco,Europe,39783.0,67.0,17181,78646.0,
84,Samoa,Oceania,202239.0,31.0,17006,187397.0,1605.0
85,Tonga,Oceania,107749.0,13.0,16950,535009.0,15638.0
86,Marshall-Islands,Oceania,60057.0,17.0,16138,,16121.0
87,French-Guiana,South-America,314169.0,420.0,98041,651257.0,11254.0
88,Channel-Islands,Europe,176463.0,228.0,101717,1252808.0,101321.0
89,Uzbekistan,Asia,34382084.0,1637.0,253662,1377915.0,241486.0
90,Kyrgyzstan,Asia,6728271.0,2991.0,206897,1907195.0,196406.0
91,Fiji,Oceania,909466.0,885.0,69117,672883.0,67226.0
92,Suriname,South-America,596831.0,1408.0,82588,242207.0,
93,Kenya,Africa,56215221.0,5689.0,344130,3967062.0,337309.0
94,Brunei,Asia,445431.0,225.0,343719,717784.0,243601.0
95,Albania,Europe,2866374.0,3605.0,334863,1941032.0,330233.0
96,Botswana,Africa,2441162.0,2801.0,330638,2026898.0,327049.0
97,Montenegro,Europe,627950.0,2846.0,296542,2769281.0,291794.0
98,Algeria,Africa,45350148.0,6881.0,272010,230960.0,183061.0
99,Nigeria,Africa,216746934.0,3155.0,267188,5708974.0,259953.0
100,Zimbabwe,Africa,15331428.0,5740.0,266359,2525756.0,258888.0
101,Afghanistan,Asia,40754388.0,7996.0,234174,1390730.0,211080.0
102,Mozambique,Africa,33089461.0,2250.0,233731,1371127.0,228805.0
103,Martinique,North-America,374087.0,1102.0,230354,828928.0,
104,Laos,Asia,7481023.0,758.0,218970,1233207.0,
105,Iceland,Europe,345393.0,229.0,209906,1996384.0,
106,Guadeloupe,North-America,399794.0,1021.0,203235,938039.0,
107,El-Salvador,North-America,6550389.0,4230.0,201855,2610114.0,179410.0
108,Trinidad-and-Tobago,North-America,1406585.0,4390.0,191496,913289.0,187078.0
109,Maldives,Asia,540985.0,316.0,186694,2213831.0,163687.0
110,Namibia,Africa,2633874.0,4106.0,172389,1062663.0,167099.0
111,Uganda,Africa,48432863.0,3632.0,172149,3012408.0,100431.0
112,Ghana,Africa,32395450.0,1462.0,171889,2541625.0,170425.0
